R,G,B
24,58,68
86,145,175
12,17,20
58,107,137
134,190,213
34,78,103
87,150,194
43,102,134
196,217,220
21,37,50
25,146,227
54,59,140
139,218,248
53,86,193
54,54,80
136,155,169
56,68,80
177,189,201
38,39,41
86,108,122
22,23,28
174,188,215
78,105,148
47,64,90
129,155,192
124,151,178
23,39,54
47,76,108
6,7,12
86,119,154
91,101,128
3,5,17
3,25,74
145,146,151
42,58,109
17,47,73
94,147,155
3,11,30
42,97,118
171,187,177
43,80,99
128,165,184
179,210,230
8,39,57
83,120,139
187,215,254
18,68,137
89,142,212
143,187,250
47,100,170
