R,G,B
66,117,145
119,178,204
15,28,33
32,72,95
157,194,208
48,112,149
29,135,221
55,61,133
138,217,246
40,44,47
160,178,190
77,97,110
26,29,37
168,183,212
76,104,143
43,71,99
114,143,171
9,14,19
133,136,144
1,15,43
48,65,109
4,17,37
133,168,166
42,93,115
81,118,137
161,196,214
19,53,71
180,211,253
33,86,155
99,151,220
7,33,80
3,13,35
15,55,119
7,74,136
2,13,65
41,127,191
27,67,169
81,156,239
10,26,61
31,119,191
15,84,164
88,143,199
0,0,56
10,9,220
2,0,133
38,55,106
22,12,36
66,112,164
15,20,51
18,30,189
37,105,228
1,48,126
67,149,194
10,105,168
21,110,179
195,220,208
6,48,104
37,76,104
115,140,182
80,113,151
31,71,126
124,160,204
8,18,39
68,115,226
3,8,42
10,26,154
9,32,135
4,10,41
31,97,213
25,105,168
1,19,42
4,54,104
17,31,47
139,149,207
54,73,126
60,129,157
26,58,75
109,181,206
7,20,26
34,98,106
14,51,60
108,184,216
26,36,44
63,109,134
122,146,156
22,31,35
66,87,97
79,106,126
12,23,36
198,214,224
36,36,55
52,168,232
48,82,161
1,104,146
26,174,214
0,38,79
148,203,241
11,50,77
83,146,187
3,18,36
74,129,142
11,97,114
51,74,152
55,50,133
57,91,165
37,94,144
78,134,186
6,61,104
3,5,107
76,174,241
17,66,226
101,148,252
1,21,124
7,82,221
29,64,89
12,27,38
54,112,146
43,73,248
237,194,187
125,142,248
107,181,220
55,80,106
88,138,173
5,5,6
92,126,163
150,171,195
164,225,250
2,203,237
79,216,246
49,95,169
176,208,236
3,15,35
1,35,181
1,14,108
1,66,214
78,120,208
65,58,71
190,195,229
150,168,188
107,126,158
54,74,125
5,62,168
1,20,62
2,35,113
93,127,156
64,90,105
141,174,205
47,70,127
56,101,214
25,37,65
67,106,156
13,22,33
131,203,248
184,209,238
7,49,84
61,122,166
11,35,56
195,211,228
72,117,150
38,72,91
180,213,220
70,120,142
22,112,167
1,15,42
8,56,100
120,192,242
26,65,99
87,157,210
1,53,100
15,137,189
5,94,143
154,187,228
71,90,99
132,158,189
98,155,241
2,8,28
61,126,218
6,27,131
43,73,177
21,48,154
29,84,133
78,144,199
18,37,64
36,52,64
104,147,177
60,81,95
86,186,222
8,49,70
52,145,181
70,116,159
18,64,104
146,173,207
108,169,206
16,97,168
16,36,78
30,71,129
31,45,99
40,106,155
34,116,200
80,182,245
6,45,118
2,73,165
0,25,82
64,180,236
82,136,227
34,55,188
136,192,248
3,34,47
145,187,198
45,110,125
13,82,142
3,11,57
40,56,138
0,32,157
0,16,107
0,61,206
47,140,221
142,207,242
13,73,163
78,138,221
33,46,86
47,89,158
27,33,45
188,197,214
87,105,138
22,29,37
189,206,217
108,136,162
180,196,207
80,102,123
114,140,161
65,118,135
16,57,88
185,216,200
7,34,61
13,64,105
15,116,170
71,165,235
3,28,86
25,105,181
181,197,213
17,34,63
79,113,144
28,58,122
150,172,176
37,73,149
28,85,140
14,20,48
81,165,215
63,119,133
6,61,74
138,184,197
79,188,238
36,128,199
3,23,39
110,206,230
3,27,41
25,131,180
127,157,191
26,29,35
65,83,111
10,29,43
82,124,142
180,195,200
11,43,199
183,191,204
52,100,224
13,30,95
125,167,234
8,54,197
65,127,188
171,196,221
4,53,121
72,140,173
34,66,89
118,190,224
31,37,47
191,197,195
101,117,136
89,152,208
19,50,104
21,80,172
91,168,208
146,214,224
51,86,180
3,17,55
126,203,248
13,127,201
142,176,181
28,40,57
63,111,139
170,203,234
25,54,79
91,133,168
5,110,187
2,174,242
77,126,182
78,127,183
