R,G,B
141,104,149
209,195,211
187,135,175
203,152,211
249,189,206
137,118,198
175,135,162
238,204,233
122,98,129
62,97,221
90,64,134
26,38,124
110,92,124
50,118,189
174,144,186
251,212,247
246,245,245
188,206,244
105,98,159
193,181,224
139,136,205
223,158,158
167,122,151
125,107,147
142,99,201
116,70,143
192,121,157
126,120,216
60,75,161
182,165,236
74,65,148
38,30,77
135,116,225
198,175,227
42,25,88
122,72,171
199,153,172
170,122,151
170,136,186
118,132,170
217,211,227
166,168,199
163,124,161
230,203,211
103,70,90
222,156,157
125,107,147
166,122,151
39,39,60
151,140,178
90,101,138
89,45,136
53,17,97
159,123,199
177,146,180
233,207,214
93,84,134
200,190,205
100,75,133
155,129,174
196,189,238
73,95,134
116,134,202
87,76,140
57,41,79
158,128,191
199,184,223
133,127,187
167,155,205
64,42,73
90,83,128
143,134,174
40,42,74
81,78,133
161,105,149
209,207,239
164,166,238
240,192,224
210,159,202
38,29,87
116,86,142
243,218,216
100,42,88
203,113,149
234,183,173
97,71,91
177,127,137
74,81,98
172,163,203
114,114,152
95,83,119
225,202,189
140,153,183
194,158,229
214,177,231
235,207,237
202,164,167
161,123,155
115,90,142
143,113,142
58,93,126
212,167,182
169,125,156
220,192,195
134,97,86
92,69,134
192,174,204
147,124,174
84,18,90
152,70,156
223,155,219
68,86,190
20,41,126
148,145,233
138,88,183
60,44,89
187,144,217
66,30,88
196,193,227
149,96,185
240,220,239
95,84,122
172,149,187
76,53,86
181,125,159
137,108,144
212,191,214
144,121,169
243,233,238
173,89,192
44,13,64
108,47,142
149,131,202
227,230,245
185,183,224
213,179,180
39,67,97
135,114,155
126,100,140
205,185,203
169,136,166
237,217,224
214,183,207
186,158,192
147,85,179
214,159,229
71,41,99
131,74,148
212,90,93
90,38,73
71,43,55
203,164,199
167,108,151
68,41,107
241,197,216
184,97,180
87,64,85
195,157,160
142,92,109
225,203,222
190,154,199
170,200,224
146,130,241
210,191,240
112,91,210
94,62,75
225,201,203
157,129,146
204,195,241
220,207,241
204,222,241
136,107,192
95,62,104
203,166,220
245,223,236
231,111,186
215,170,239
120,150,238
35,117,216
176,175,240
243,234,246
113,127,105
209,171,180
144,46,146
213,157,196
54,10,70
113,75,131
203,155,196
158,121,172
227,209,243
80,110,189
157,168,237
204,163,194
133,89,110
60,39,47
96,78,144
203,167,223
160,127,198
156,176,244
23,19,139
75,91,212
184,143,203
132,87,152
58,39,84
204,171,191
234,196,209
163,136,159
241,197,234
251,223,244
187,143,192
240,197,231
247,169,177
220,134,223
235,194,209
207,181,189
183,191,217
223,156,170
83,84,140
156,141,185
138,119,163
65,61,71
227,190,204
210,188,239
147,124,196
185,159,223
241,210,228
181,146,190
147,116,153
204,186,249
43,147,228
146,128,240
214,11,193
96,30,176
149,25,192
216,199,229
187,160,214
143,127,177
229,192,245
114,99,215
176,143,236
154,90,173
58,20,82
212,167,225
208,186,234
244,223,227
230,177,209
31,37,62
194,162,196
162,154,189
241,179,199
197,154,193
126,58,78
223,209,248
195,189,247
156,166,245
37,44,161
167,170,217
69,120,205
202,73,205
75,44,91
126,59,169
130,142,186
121,160,216
163,142,180
148,101,226
49,14,72
91,66,187
217,189,234
163,95,174
52,223,240
114,86,241
173,172,250
103,182,249
102,103,189
221,198,214
40,52,140
65,56,110
128,109,170
189,162,177
157,87,175
61,22,86
103,58,138
75,36,112
154,151,237
118,78,185
50,25,85
205,105,162
132,45,114
143,112,191
74,63,156
191,158,225
217,185,251
175,141,217
197,163,238
187,160,215
216,199,229
143,127,177
163,130,195
75,46,92
127,88,140
