R,G,B
231,181,49
107,82,36
222,194,141
247,239,174
102,76,35
225,188,62
242,221,127
106,74,30
232,183,34
254,218,0
254,171,0
254,192,0
201,154,52
229,207,177
226,191,122
193,124,12
238,202,66
231,218,124
242,231,59
250,244,10
221,86,45
187,116,30
191,191,125
218,192,53
169,102,28
114,47,3
227,167,82
252,234,155
253,185,36
94,34,10
63,189,212
237,141,128
245,221,11
247,224,108
174,129,21
227,189,65
253,144,82
254,74,176
254,209,19
232,215,12
252,146,104
238,206,112
180,184,190
92,76,34
207,169,49
249,245,219
212,136,56
114,57,13
220,163,4
200,123,1
232,205,32
243,225,126
254,253,246
241,217,73
77,67,40
222,195,70
230,218,181
155,110,6
209,184,7
247,247,157
244,228,196
125,102,65
207,173,106
246,204,61
249,227,133
250,242,209
250,224,71
247,178,34
248,199,53
220,204,82
218,184,7
225,220,176
231,159,46
252,225,51
252,249,156
193,158,67
227,208,158
67,49,21
248,202,80
240,181,32
226,158,4
220,210,173
190,177,124
139,109,48
252,246,189
92,104,122
248,196,59
244,208,25
223,218,198
156,115,77
236,193,31
232,253,246
240,240,152
254,221,129
254,196,35
254,245,218
252,248,194
252,215,67
252,238,121
200,156,65
121,73,24
244,225,149
251,150,15
103,42,8
253,232,95
254,224,11
253,251,237
254,193,7
229,208,178
201,154,52
226,191,123
236,201,143
211,145,38
251,233,194
232,212,137
110,88,16
193,147,19
245,217,122
120,202,71
254,246,194
246,211,57
251,233,135
233,190,7
202,158,19
249,208,12
131,119,26
251,203,93
236,161,17
174,94,14
251,149,22
251,235,35
251,54,8
182,130,65
245,206,122
223,174,94
218,171,101
252,240,196
146,90,52
82,181,171
244,199,148
251,230,174
254,224,11
253,251,237
254,193,7
129,82,27
196,143,64
251,213,123
242,218,137
200,167,94
251,240,195
221,149,29
253,251,239
240,197,107
93,40,38
227,172,86
253,253,248
215,203,146
65,52,21
166,152,81
192,202,202
191,136,2
160,132,74
235,190,110
138,94,49
253,238,187
218,199,7
138,107,47
214,197,136
185,140,17
223,210,183
101,76,3
141,76,10
248,230,178
224,148,35
211,196,143
120,106,21
236,181,31
234,165,16
113,50,6
250,241,208
250,197,43
231,100,12
247,148,22
241,141,4
238,220,169
247,209,21
199,228,157
250,203,77
18,118,172
252,210,43
137,122,40
251,246,197
87,68,58
222,189,11
177,167,149
233,163,4
253,226,18
165,97,2
245,190,82
224,134,36
192,55,34
205,170,34
92,53,9
165,122,18
229,200,29
18,122,62
163,83,14
232,190,122
196,179,129
213,138,96
252,238,197
195,159,107
235,209,150
212,181,133
215,172,13
227,202,164
222,183,70
254,254,254
225,202,179
252,238,192
233,103,8
247,219,119
230,222,189
113,71,34
244,183,51
180,108,74
247,234,175
223,172,106
230,249,217
201,141,8
243,203,20
222,171,46
216,106,37
228,204,87
227,184,113
186,92,74
91,36,50
230,204,124
165,65,28
225,143,42
236,243,71
222,62,43
237,127,52
244,240,68
238,164,42
247,250,123
252,176,2
139,65,2
208,113,1
99,10,106
254,163,49
252,77,92
222,205,51
246,245,208
145,117,4
130,113,34
221,214,123
169,151,45
251,168,6
249,204,127
247,190,63
250,241,148
246,150,21
179,170,141
250,241,206
189,156,8
236,202,63
250,219,92
115,54,12
224,140,59
244,239,201
225,209,98
176,150,50
220,121,7
248,191,52
149,50,1
185,129,8
86,62,38
163,136,84
249,238,155
177,100,56
254,253,216
252,210,116
223,178,107
140,60,18
253,246,230
155,91,8
215,157,53
230,178,114
93,58,15
175,128,48
231,164,101
148,104,83
252,243,222
189,119,3
249,192,10
219,150,6
147,113,66
244,207,93
220,161,46
