R,G,B
223,93,142
252,206,235
147,19,42
81,16,83
184,53,144
245,120,221
154,35,62
83,19,37
217,59,92
196,85,104
241,159,150
131,26,72
241,165,201
246,194,218
236,132,181
252,241,237
248,161,150
251,204,196
187,57,113
214,138,177
139,4,29
231,76,74
248,145,145
106,21,20
222,143,171
199,48,87
106,14,39
250,57,140
221,44,120
188,32,100
253,188,188
249,105,108
252,147,152
177,3,46
182,61,69
146,6,35
111,6,8
238,106,122
185,25,37
136,2,3
224,46,61
68,1,2
182,85,122
235,126,164
132,52,88
250,156,190
221,86,133
250,211,225
203,59,38
252,224,219
240,116,101
249,70,119
253,215,222
253,147,173
250,181,177
247,145,160
252,207,196
79,4,0
172,9,1
250,118,98
253,160,196
233,135,150
116,70,82
180,87,106
217,154,169
122,42,55
186,84,68
232,164,118
107,32,28
241,162,172
249,209,214
224,119,137
143,28,62
176,71,104
105,17,41
144,20,24
189,28,34
242,216,217
246,176,205
249,222,216
241,135,181
122,8,50
230,116,152
189,23,93
225,68,96
253,179,171
248,127,128
254,95,109
254,71,86
254,121,132
251,5,118
252,194,232
252,53,177
210,31,31
223,108,108
126,35,36
254,217,217
238,76,83
244,163,166
102,33,58
244,182,218
163,94,136
217,65,110
252,169,193
240,115,152
129,23,27
192,32,43
211,94,110
114,19,34
216,117,133
178,56,68
248,201,216
240,165,176
225,127,155
160,86,123
221,168,201
186,113,152
248,153,188
166,18,99
239,99,156
250,201,213
156,28,73
216,91,135
233,47,76
245,159,145
177,14,65
172,62,87
215,178,173
211,111,133
217,110,111
132,61,52
231,168,172
76,5,2
195,11,7
245,88,78
206,3,42
57,0,3
150,0,23
105,8,12
224,169,155
182,64,70
95,3,11
246,134,196
191,20,58
233,157,117
223,61,31
133,9,4
235,184,198
135,66,100
208,118,132
85,3,10
236,140,136
189,20,40
241,194,212
155,34,43
221,121,136
215,61,151
135,17,82
252,211,238
218,113,174
230,187,217
177,43,115
157,51,53
244,181,163
210,101,103
223,20,48
97,5,17
243,163,141
217,76,128
190,14,18
215,191,192
248,150,156
108,4,7
249,45,62
230,197,206
183,25,69
210,123,153
216,103,145
225,175,206
201,46,86
224,8,51
235,80,109
246,160,174
253,9,38
253,24,101
253,39,163
146,45,89
209,111,168
191,76,117
236,131,193
194,89,139
127,56,88
224,71,69
105,8,36
236,119,132
200,69,71
153,29,20
223,104,119
248,171,175
241,131,140
231,83,110
189,108,129
249,132,157
82,59,72
212,108,99
126,15,23
232,167,155
224,94,130
236,152,176
189,43,76
241,148,154
251,220,226
232,96,104
172,141,155
116,54,60
158,92,104
156,65,77
206,108,122
215,147,169
50,44,89
114,45,95
188,48,114
245,144,186
234,110,128
215,45,36
248,124,124
133,25,26
199,50,51
119,6,15
203,127,129
190,19,38
186,62,92
89,15,35
235,137,153
137,7,14
207,85,98
214,29,33
168,31,64
253,208,214
224,110,133
80,23,20
246,209,221
210,97,85
234,131,139
205,43,64
19,118,172
200,40,45
114,7,7
235,114,152
253,197,212
192,51,71
238,141,163
254,124,155
242,196,199
249,162,177
70,15,92
253,134,224
238,52,154
161,0,35
239,45,75
253,172,138
241,200,206
237,90,117
250,146,170
249,131,161
253,210,227
253,169,193
203,94,146
229,160,191
164,33,102
86,30,52
242,143,153
176,65,88
68,7,13
198,135,146
153,57,70
215,127,146
175,56,66
247,197,219
145,5,18
206,40,83
236,151,179
253,180,195
254,208,217
252,150,171
253,147,155
253,195,198
252,91,122
227,80,174
185,70,159
236,119,204
245,194,204
196,53,66
221,122,139
223,168,189
252,215,233
246,196,214
250,222,214
240,142,154
233,97,122
