color,depressed,dreamy,romantic,healing,joy
blue,5,5,4,5,5
blue,5,5,4,4,5
blue,5,5,4,4,5
blue,5,5,4,4,4
blue,5,5,4,4,4
blue,5,5,4,4,4
blue,5,5,4,4,4
blue,5,5,4,4,3
blue,5,5,4,4,3
blue,5,5,4,4,3
blue,5,4,4,4,3
blue,5,4,4,4,3
blue,5,4,3,4,3
blue,5,4,3,4,3
blue,5,4,3,4,3
blue,5,4,3,4,3
blue,5,4,3,4,3
blue,5,4,3,4,3
blue,5,4,3,4,3
blue,5,4,3,4,3
blue,5,4,3,4,3
blue,5,4,3,3,3
blue,5,4,3,3,3
blue,5,4,3,3,3
blue,5,4,3,3,3
blue,5,4,3,3,3
blue,5,4,3,3,3
blue,5,4,3,3,3
blue,5,4,3,3,2
blue,5,4,3,3,2
blue,5,4,3,3,2
blue,5,4,3,3,2
blue,5,4,3,3,2
blue,5,4,3,3,2
blue,5,4,3,3,2
blue,5,4,3,3,2
blue,5,4,3,3,2
blue,5,4,3,3,2
blue,5,4,2,3,2
blue,5,4,2,3,2
blue,5,4,2,3,2
blue,5,4,2,3,2
blue,5,4,2,3,2
blue,5,4,2,3,2
blue,5,4,2,3,2
blue,5,4,2,3,2
blue,5,4,2,3,2
blue,5,4,2,3,2
blue,5,4,2,3,2
blue,5,4,2,3,2
blue,5,3,2,3,2
blue,5,3,2,3,2
blue,5,3,2,3,2
blue,5,3,2,3,2
blue,5,3,2,3,2
blue,5,3,2,3,2
blue,5,3,2,3,2
blue,5,3,2,3,2
blue,5,3,2,3,2
blue,5,3,2,3,2
blue,5,3,2,3,2
blue,5,3,2,3,2
blue,5,3,2,3,2
blue,5,3,2,3,2
blue,5,3,2,2,2
blue,5,3,2,2,2
blue,5,3,2,2,2
blue,5,3,2,2,2
blue,5,3,2,2,2
blue,5,3,2,2,2
blue,5,3,2,2,2
blue,5,3,2,2,2
blue,5,3,2,2,2
blue,5,3,2,2,2
blue,5,3,2,2,2
blue,5,3,2,2,2
blue,5,3,2,2,2
blue,5,3,2,2,2
blue,5,3,2,2,2
blue,5,3,2,2,2
blue,5,3,2,2,2
blue,5,3,2,2,2
blue,5,3,2,2,2
blue,5,3,2,2,2
blue,5,3,2,2,2
blue,5,3,2,2,2
blue,5,3,2,2,2
blue,5,3,2,2,2
blue,5,3,2,2,2
blue,5,3,2,2,1
blue,5,3,2,2,1
blue,5,3,2,2,1
blue,5,3,2,2,1
blue,5,3,2,2,1
blue,5,3,2,2,1
blue,5,3,2,2,1
blue,5,3,2,2,1
blue,5,3,1,2,1
blue,5,3,1,2,1
blue,5,3,1,2,1
blue,5,2,1,2,1
blue,5,2,1,2,1
blue,5,2,1,2,1
blue,5,2,1,2,1
blue,5,2,1,2,1
blue,5,2,1,2,1
blue,5,2,1,2,1
blue,5,2,1,2,1
blue,5,2,1,2,1
blue,5,2,1,2,1
blue,5,2,1,1,1
blue,5,2,1,1,1
blue,5,2,1,1,1
blue,5,2,1,1,1
blue,5,2,1,1,1
blue,5,2,1,1,1
blue,5,2,1,1,1
blue,5,2,1,1,1
blue,5,2,1,1,1
blue,5,2,1,1,1
blue,5,2,1,1,1
blue,5,2,1,1,1
blue,5,2,1,1,1
blue,5,2,1,1,1
blue,4,2,1,1,1
blue,4,2,1,1,1
blue,4,2,1,1,1
blue,4,2,1,1,1
blue,4,2,1,1,1
blue,4,2,1,1,1
blue,4,2,1,1,1
blue,4,2,1,1,1
blue,4,2,1,1,1
blue,4,2,1,1,1
blue,4,2,1,1,1
blue,4,2,1,1,1
blue,4,2,1,1,1
blue,4,1,1,1,1
blue,4,1,1,1,1
blue,4,1,1,1,1
blue,4,1,1,1,1
blue,4,1,1,1,1
blue,4,1,1,1,1
blue,4,1,1,1,1
blue,4,1,1,1,1
blue,4,1,1,1,1
blue,4,1,1,1,1
blue,4,1,1,1,1
blue,4,1,1,1,1
blue,4,1,1,1,1
blue,4,1,1,1,1
blue,4,1,1,1,1
blue,4,1,1,1,1
blue,4,1,1,1,1
blue,4,1,1,1,1
blue,4,1,1,1,1
blue,4,1,1,1,1
blue,4,1,1,1,1
blue,4,1,1,1,1
blue,4,1,1,1,1
blue,4,1,1,1,1
blue,4,1,1,1,1
blue,4,1,1,1,1
blue,4,1,1,1,1
blue,4,1,1,1,1
blue,4,1,1,1,1
blue,4,1,1,1,1
blue,4,1,1,1,1
blue,4,1,1,1,1
blue,4,1,1,1,1
blue,4,1,1,1,1
blue,4,1,1,1,1
blue,4,1,1,1,1
blue,4,1,1,1,1
blue,4,1,1,1,1
blue,4,1,1,1,1
blue,4,1,1,1,1
blue,4,1,1,1,1
blue,4,1,1,1,1
blue,4,1,1,1,1
blue,4,1,1,1,1
blue,4,1,1,1,1
blue,4,1,1,1,1
blue,4,1,1,1,1
blue,4,1,1,1,1
blue,4,1,1,1,1
blue,4,1,1,1,1
blue,4,1,1,1,1
blue,4,1,1,1,1
blue,4,1,1,1,1
blue,4,1,1,1,1
blue,4,1,1,1,1
blue,4,1,1,1,1
blue,4,1,1,1,1
blue,4,1,1,1,1
blue,4,1,1,1,1
blue,4,1,1,1,1
blue,3,1,1,1,1
blue,3,1,1,1,1
blue,3,1,1,1,1
blue,3,1,1,1,1
blue,3,1,1,1,1
blue,3,1,1,1,1
blue,3,1,1,1,1
blue,3,1,1,1,1
blue,3,1,1,1,1
blue,3,1,1,1,1
blue,3,1,1,1,1
blue,3,1,1,1,1
blue,2,1,1,1,1
blue,2,1,1,1,1
blue,1,1,1,1,1
purple,5,5,5,5,5
purple,5,5,5,5,5
purple,5,5,5,5,4
purple,5,5,5,5,4
purple,5,5,5,5,4
purple,5,5,5,4,4
purple,5,5,5,4,4
purple,5,5,5,4,4
purple,5,5,5,4,4
purple,4,5,5,4,4
purple,4,5,5,4,4
purple,4,5,5,4,4
purple,4,5,4,4,3
purple,4,5,4,4,3
purple,4,5,4,4,3
purple,4,5,4,4,3
purple,4,5,4,4,3
purple,4,5,4,4,3
purple,4,5,4,4,3
purple,4,5,4,4,3
purple,4,5,4,4,3
purple,4,5,4,4,3
purple,4,5,4,4,3
purple,4,5,4,4,3
purple,4,5,4,4,3
purple,4,5,4,4,3
purple,4,5,4,3,3
purple,4,5,4,3,3
purple,4,5,4,3,3
purple,4,5,4,3,3
purple,4,5,4,3,3
purple,4,5,4,3,3
purple,4,5,4,3,3
purple,4,5,4,3,3
purple,4,5,4,3,3
purple,4,5,4,3,3
purple,4,5,4,3,3
purple,4,5,4,3,3
purple,4,5,4,3,3
purple,4,5,4,3,3
purple,4,5,4,3,3
purple,4,5,4,3,3
purple,4,5,4,3,2
purple,4,5,4,3,2
purple,4,5,4,3,2
